
#Source name ,Components,$\alpha_{2000}$ ,$\delta_{2000}$ ,$\sigma_{p 95 stat}$ ,$r_{39}$ ,TS ,$N_0$ ,$\Gamma$ ,TS$_{100}$,Asso.(Sep.[$^{\circ}$])


1LHAASOJ0534$+$2200u , WCDA , 83.62 , 22.01 , 0.004 , $<$0.04 , 73603.7 , 21.10$\pm$0.11 , 2.69$\pm$0.01 , ,   Crab                  (0.01)
 , KM2A , 83.61 , 22.04 , 0.011 , $<$0.06 , 14328.1 , 6.23$\pm$0.10 , 3.19$\pm$0.03 , 2381.4 , 

 1LHAASOJ0542$+$2311u , KM2A , 85.71 , 23.20 , 0.14 , 0.98$\pm$0.05 , 745.3 , 2.93$\pm$0.12 , 3.74$\pm$0.09 , 21.2 ,   HAWC J0543+233        (0.21) 
 , WCDA* , 86.07 , 23.19 , 0.50 , 1.45$\pm$0.18 , 136.9 , 2.08$\pm$0.54 , 1.95$\pm$0.13 , ,  

1LHAASOJ0617$+$2234 , WCDA , 94.35 , 22.57 , 0.18 , 0.59$\pm$0.08 , 243.4 , 1.95$\pm$0.27 , 2.92$\pm$0.14 , ,   IC 443                (0.14)
 , KM2A , , , , , , $<$0.17 , , , 

 1LHAASOJ0622$+$3754 , KM2A , 95.50 , 37.90 , 0.08 , 0.46$\pm$0.03 , 615.0 , 1.42$\pm$0.07 , 3.68$\pm$0.10 , ,   LHAASOJ0621+3755     (0.03) 
 , WCDA , 95.67 , 37.93 , 0.29 , 0.50$\pm$0.09 , 59.3 , 0.39$\pm$0.17 , 1.82$\pm$0.22 , ,  

 1LHAASOJ0631$+$1040 , KM2A , 97.77 , 10.67 , 0.11 , $<$0.30 , 141.6 , 0.54$\pm$0.06 , 3.33$\pm$0.16 ,  ,  3HWC J0631+107(0.06) 
 , WCDA , , , , , , $<$0.36 , , , 

 1LHAASOJ0634$+$1741u , KM2A , 98.57 , 17.69 , 0.10 , 0.89$\pm$0.04 , 1043.3 , 4.42$\pm$0.15 , 3.69$\pm$0.06 , 23.0 ,   Geminga               (0.54) 
 , WCDA , 98.51 , 17.72 , 0.28 , 1.16$\pm$0.17 , 193.2 , 1.53$\pm$0.65 , 1.65$\pm$0.15 , ,  

 1LHAASOJ0635$+$0619 , KM2A , 98.76 , 6.33 , 0.23 , 0.60$\pm$0.07 , 106.1 , 0.94$\pm$0.10 , 3.67$\pm$0.18 ,  ,   HAWC J0635+070        (0.67)
 , WCDA , , , , , , $<$0.90 , , , 

 1LHAASOJ0703$+$1405 , KM2A , 105.83 , 14.10 , 0.26 , 1.88$\pm$0.09 , 841.0 , 6.30$\pm$0.23 , 3.98$\pm$0.08 ,  ,   2HWC J0700+143        (0.72) 
 , WCDA , 105.32 , 14.55 , 0.48 , 1.30$\pm$0.21 , 90.2 , 2.27$\pm$0.74 , 1.98$\pm$0.12 , ,  

1LHAASOJ1104$+$3810 , WCDA , 166.07 , 38.18 , 0.01 , $<$0.04 , 5343.6 , 3.68$\pm$0.10 , 3.41$\pm$0.03 , ,   Markarian 421         (0.02)
 , KM2A , , , , , , $<$0.06 , , , 

1LHAASOJ1219$+$2915 , WCDA , 184.98 , 29.25 , 0.09 , $<$0.08 , 50.4 , 0.34$\pm$0.06 , 2.67$\pm$0.17 , , 
 , KM2A , , , , , , $<$0.05 , , , 

1LHAASOJ1653$+$3943 , WCDA , 253.43 , 39.73 , 0.01 , $<$0.04 , 4121.6 , 3.77$\pm$0.08 , 2.94$\pm$0.02 , ,   Markarian 501         (0.04)
 , KM2A , , , , , , $<$0.07 , , , 

1LHAASOJ1727$+$5016 , WCDA , 261.89 , 50.28 , 0.10 , $<$0.08 , 43.6 , 0.49$\pm$0.08 , 3.09$\pm$0.21 , ,   1ES 1727+502          (0.14)
 , KM2A , , , , , , $<$0.03 , , , 

 1LHAASOJ1740$+$0948u , KM2A , 265.03 , 9.81 , 0.07 , $<$0.11 , 156.2 , 0.41$\pm$0.04 , 3.13$\pm$0.15 , 37.2 ,  3HWC J1739+099(0.13) 
 , WCDA , , , , , , $<$0.29 , , , 

 1LHAASOJ1809$-$1918u , KM2A , 272.38 , -19.30 , 0.13 , $<$0.22 , 134.6 , 9.46$\pm$1.27 , 3.51$\pm$0.26 , 88.4 ,   HESS J1809-193        (0.24) 
 , WCDA , 272.66 , -19.32 , 0.20 , 0.35$\pm$0.06 , 54.8 , 3.46$\pm$0.61 , 2.24$\pm$0.06 , , 

 1LHAASOJ1813$-$1245 , KM2A , 273.36 , -12.75 , 0.22 , $<$0.31 , 42.2 , 1.42$\pm$0.27 , 3.66$\pm$0.34 ,  ,   HESS J1813-126        (0.07)
 , WCDA , 273.35 , -12.73 , 0.21 , $<$0.32 , 37.2 , 2.44$\pm$0.44 , 2.61$\pm$0.08 , ,

1LHAASOJ1814$-$1719u* , WCDA , 273.69 , -17.33 , 0.27 , 0.71$\pm$0.07 , 118.8 , 26.50$\pm$2.46 , 2.83$\pm$0.06 , ,   2HWC J1814-173        (0.16)
 , KM2A , 273.27 , -17.89 , 0.17 , $<$0.27 , 59.3 , 4.20$\pm$0.75 , 3.49$\pm$0.31 , 41.0 , 

 1LHAASOJ1814$-$1636u , KM2A , 273.72 , -16.62 , 0.30 , 0.68$\pm$0.08 , 132.2 , 11.90$\pm$1.30 , 3.74$\pm$0.20 , 50.4 ,   2HWC J1814-173        (0.72)
 , WCDA , , , , , , $<$19.71 , , , 

1LHAASOJ1825$-$1418 , WCDA , 276.29 , -14.32 , 0.19 , 0.81$\pm$0.05 , 210.2 , 39.20$\pm$2.30 , 2.98$\pm$0.05 , ,   HESS J1825-137        (0.56)
 , KM2A , 276.25 , -14.00 , 0.43 , 0.81$\pm$0.10 , 68.9 , 7.26$\pm$0.98 , 3.53$\pm$0.18 ,  , 

 1LHAASOJ1825$-$1256u , KM2A , 276.44 , -12.94 , 0.08 , $<$0.20 , 259.2 , 5.08$\pm$0.42 , 3.33$\pm$0.13 , 121.0 ,   HESS J1826-130        (0.14) 
 , WCDA , 276.55 , -13.04 , 0.08 , 0.24$\pm$0.03 , 231.0 , 8.27$\pm$0.54 , 2.61$\pm$0.03 , , 

 1LHAASOJ1825$-$1337u , KM2A , 276.45 , -13.63 , 0.05 , $<$0.18 , 453.7 , 10.10$\pm$0.61 , 3.28$\pm$0.09 , 249.6 ,   HESS J1825-137        (0.15) 
 , WCDA , 276.55 , -13.73 , 0.05 , 0.17$\pm$0.02 , 289.0 , 10.40$\pm$0.56 , 2.55$\pm$0.03 , , 

1LHAASOJ1831$-$1007u* , WCDA , 277.75 , -10.12 , 0.16 , 0.78$\pm$0.04 , 376.4 , 17.80$\pm$1.06 , 2.71$\pm$0.04 , ,   HESS J1831-098        (0.25)
 , KM2A , 277.81 , -9.83 , 0.12 , 0.26$\pm$0.05 , 125.4 , 2.56$\pm$0.27 , 3.30$\pm$0.14 , 53.3 , 

 1LHAASOJ1831$-$1028 , KM2A , 277.84 , -10.48 , 0.39 , 0.94$\pm$0.09 , 100.0 , 5.39$\pm$0.60 , 3.53$\pm$0.15 ,  ,   HESS J1833-105        (0.55)
 , WCDA , , , , , , $<$7.77 , , , 

1LHAASOJ1834$-$0831 , WCDA , 278.62 , -8.53 , 0.22 , 0.40$\pm$0.07 , 96.0 , 5.99$\pm$1.09 , 3.08$\pm$0.13 , ,   HESS J1834-087        (0.24)
 , KM2A , 278.44 , -8.38 , 0.28 , 0.40$\pm$0.07 , 68.9 , 1.55$\pm$0.21 , 3.63$\pm$0.21 ,  , 

1LHAASOJ1837$-$0654u , WCDA* , 279.39 , -6.90 , 0.06 , 0.34$\pm$0.01 , 1049.8 , 15.50$\pm$0.54 , 2.92$\pm$0.03 , ,   HESS J1837-069        (0.05)
 , KM2A , 279.31 , -6.86 , 0.09 , 0.33$\pm$0.04 , 331.2 , 3.06$\pm$0.21 , 3.70$\pm$0.12 , 25.0 , 

 1LHAASOJ1839$-$0548u , KM2A , 279.79 , -5.81 , 0.06 , 0.22$\pm$0.02 , 364.8 , 3.03$\pm$0.20 , 3.24$\pm$0.09 , 127.7 ,   LHAASOJ1839-0545     (0.17) 
 , WCDA* , 279.85 , -5.90 , 0.07 , 0.22$\pm$0.02 , 198.8 , 4.62$\pm$0.29 , 2.65$\pm$0.04 , ,  

1LHAASOJ1841$-$0519 , WCDA , 280.33 , -5.33 , 0.09 , 0.60$\pm$0.03 , 519.8 , 15.20$\pm$0.84 , 2.88$\pm$0.04 , ,   HESS J1841-055        (0.25)
 , KM2A* , 280.21 , -5.23 , 0.37 , 0.62$\pm$0.12 , 82.8 , 2.10$\pm$0.25 , 3.85$\pm$0.20 ,  , 

 1LHAASOJ1843$-$0335u , KM2A , 280.91 , -3.60 , 0.04 , 0.36$\pm$0.01 , 1892.2 , 6.19$\pm$0.20 , 3.44$\pm$0.06 , 295.8 ,   HESS J1843-033        (0.06) 
 , WCDA , 281.01 , -3.50 , 0.06 , 0.40$\pm$0.02 , 1162.8 , 9.01$\pm$0.43 , 2.58$\pm$0.03 , ,  

1LHAASOJ1848$-$0153u , WCDA*, 282.06 , -1.89 , 0.10 , 0.51$\pm$0.03 , 571.2 , 7.05$\pm$0.40 , 2.65$\pm$0.04 , ,   HESS J1848-018        (0.11)
 , KM2A* , 282.02 , -1.78 , 0.11 , 0.56$\pm$0.03 , 542.9 , 3.29$\pm$0.17 , 3.69$\pm$0.10 , 36.0 , 

 1LHAASOJ1848$-$0001u , KM2A , 282.19 , -0.02 , 0.04 , $<$0.09 , 655.4 , 1.64$\pm$0.10 , 2.75$\pm$0.07 , 316.8 ,   IGR J18490-0000       (0.08) 
 , WCDA , , , , , , $<$0.95 , , , 

1LHAASOJ1850$-$0004u* , WCDA , 282.74 , -0.07 , 0.08 , 0.46$\pm$0.02 , 800.9 , 5.30$\pm$0.32 , 2.49$\pm$0.04 , ,   HESS J1852-000        (0.36)
 , KM2A , 282.89 , -0.07 , 0.07 , 0.21$\pm$0.03 , 349.7 , 1.86$\pm$0.12 , 3.15$\pm$0.09 , 102.0 , 

 1LHAASOJ1852$+$0050u* , KM2A* , 283.10 , 0.84 , 0.26 , 0.85$\pm$0.06 , 275.6 , 3.22$\pm$0.22 , 3.64$\pm$0.12 , 22.1 ,   2HWC J1852+013*       (0.55) 
 , WCDA , 283.73 , 1.40 , 0.20 , 0.64$\pm$0.07 , 231.0 , 4.67$\pm$0.70 , 2.74$\pm$0.06 , ,  

1LHAASOJ1857$+$0245 , WCDA , 284.37 , 2.75 , 0.11 , 0.24$\pm$0.04 , 361.0 , 4.04$\pm$0.57 , 2.93$\pm$0.07 , ,   HESS J1857+026        (0.11)
 , KM2A , , , , , , $<$0.32 , , , 

 1LHAASOJ1857$+$0203u , KM2A , 284.38 , 2.06 , 0.07 , 0.28$\pm$0.03 , 475.2 , 1.78$\pm$0.10 , 3.31$\pm$0.10 , 112.4 ,   HESS J1858+020        (0.21) 
 , WCDA , 284.50 , 1.98 , 0.11 , 0.19$\pm$0.03 , 187.7 , 1.68$\pm$0.43 , 2.46$\pm$0.11 , ,  

 1LHAASOJ1858$+$0330 , KM2A* , 284.59 , 3.51 , 0.12 , 0.43$\pm$0.04 , 299.3 , 1.56$\pm$0.10 , 3.78$\pm$0.15 ,  ,  
 , WCDA , 284.79 , 3.70 , 0.34 , 0.52$\pm$0.08 , 114.5 , 2.84$\pm$0.63 , 2.63$\pm$0.10 , ,  

1LHAASOJ1902$+$0648 , WCDA , 285.58 , 6.80 , 0.10 , $<$0.15 , 46.2 , 0.45$\pm$0.13 , 2.39$\pm$0.18 , , 
 , KM2A , , , , , , $<$0.06 , , , 

1LHAASOJ1906$+$0712 , WCDA , 286.56 , 7.20 , 0.21 , 0.21$\pm$0.05 , 57.8 , 1.01$\pm$0.25 , 2.72$\pm$0.15 , , 
 , KM2A , , , , , , $<$0.19 , , , 

1LHAASOJ1907$+$0826 , WCDA* , 286.96 , 8.44 , 0.31 , 0.43$\pm$0.08 , 51.8 , 1.34$\pm$0.29 , 2.62$\pm$0.14 , ,   2HWC J1907+084*       (0.18)
 , KM2A , , , , , , $<$0.29 , , , 

 1LHAASOJ1908$+$0615u , KM2A , 287.05 , 6.26 , 0.03 , 0.36$\pm$0.01 , 3410.6 , 6.86$\pm$0.16 , 2.82$\pm$0.03 , 912.0 ,   MGRO J1908+06         (0.07) 
 , WCDA , 287.05 , 6.26 , 0.05 , 0.43$\pm$0.02 , 2070.2 , 7.97$\pm$0.54 , 2.42$\pm$0.03 , ,  

 1LHAASOJ1910$+$0516* , KM2A , 287.55 , 5.28 , 0.15 , $<$0.30 , 74.0 , 0.57$\pm$0.08 , 3.15$\pm$0.18 , ,   SS 433 w1             (0.26) 
 , WCDA , 287.88 , 5.07 , 0.38 , 0.29$\pm$0.09 , 36.0 , 0.86$\pm$0.29 , 2.54$\pm$0.15 , , 

1LHAASOJ1912$+$1014u , WCDA , 288.22 , 10.25 , 0.08 , 0.36$\pm$0.03 , 585.6 , 3.07$\pm$0.24 , 2.68$\pm$0.06 , ,   HESS J1912+101        (0.10)
 , KM2A* , 288.38 , 10.50 , 0.13 , 0.50$\pm$0.04 , 346.0 , 1.52$\pm$0.10 , 3.26$\pm$0.11 , 68.9 , 

 1LHAASOJ1913$+$0501 , KM2A , 288.28 , 5.03 , 0.11 , $<$0.10 , 96.0 , 0.45$\pm$0.06 , 3.30$\pm$0.18 , ,   SS 433 e1             (0.15) 
 , WCDA , , , , , , $<$0.37 , , , 

 1LHAASOJ1914$+$1150u , KM2A* , 288.73 , 11.84 , 0.09 , 0.21$\pm$0.04 , 259.2 , 0.79$\pm$0.06 , 3.41$\pm$0.13 , 26.0 ,   2HWC J1914+117*       (0.13) 
 , WCDA* , 288.81 , 11.74 , 0.14 , 0.33$\pm$0.04 , 151.3 , 1.09$\pm$0.12 , 2.34$\pm$0.07 , ,  

 1LHAASOJ1919$+$1556 , KM2A , 289.78 , 15.93 , 0.32 , $<$0.44 , 37.2 , 0.24$\pm$0.04 , 4.71$\pm$0.53 ,  ,  3HWC J1918+159(0.09) 
 , WCDA , , , , , , $<$0.03 , , , 

1LHAASOJ1922$+$1403 , WCDA , 290.70 , 14.06 , 0.07 , 0.18$\pm$0.02 , 256.0 , 1.37$\pm$0.10 , 2.62$\pm$0.07 , ,   W 51                  (0.13)
 , KM2A , 290.73 , 14.11 , 0.07 , $<$0.10 , 158.8 , 0.45$\pm$0.04 , 3.79$\pm$0.20 , 14.4 , 

1LHAASOJ1924$+$1609 , WCDA* , 291.09 , 16.15 , 0.43 , 1.45$\pm$0.11 , 169.0 , 4.44$\pm$0.41 , 2.54$\pm$0.08 , ,  3HWC J1923+169(0.86)
 , KM2A* , 290.53 , 15.71 , 0.50 , 1.22$\pm$0.20 , 68.9 , 1.35$\pm$0.17 , 3.61$\pm$0.22 ,  , 

 1LHAASOJ1928$+$1813u , KM2A , 292.07 , 18.23 , 0.14 , 0.63$\pm$0.03 , 306.2 , 2.48$\pm$0.16 , 3.24$\pm$0.08 , 44.9 ,   2HWC J1928+177        (0.46)
 , WCDA , , , , , , $<$0.48 , , , 

1LHAASOJ1928$+$1746u , WCDA , 292.14 , 17.78 , 0.07 , 0.17$\pm$0.02 , 196.0 , 0.79$\pm$0.05 , 2.22$\pm$0.05 , ,   2HWC J1928+177        (0.01)
 , KM2A , 292.17 , 17.89 , 0.07 , $<$0.16 , 127.7 , 0.72$\pm$0.07 , 3.10$\pm$0.12 , 44.9 , 

1LHAASOJ1929$+$1846u* , WCDA , 292.34 , 18.77 , 0.10 , 0.49$\pm$0.02 , 416.2 , 2.48$\pm$0.11 , 2.37$\pm$0.04 , ,   SNR G054.1+00.3       (0.29)
 , KM2A , 292.04 , 18.97 , 0.08 , $<$0.21 , 130.0 , 0.64$\pm$0.06 , 3.11$\pm$0.12 , 26.0 , 

 1LHAASOJ1931$+$1653 , KM2A , 292.79 , 16.90 , 0.11 , $<$0.10 , 51.8 , 0.22$\pm$0.04 , 3.15$\pm$0.25 ,  , 
 , WCDA , , , , , , $<$0.31 , , , 

 1LHAASOJ1937$+$2128 , KM2A* , 294.32 , 21.48 , 0.51 , 1.43$\pm$0.15 , 134.6 , 1.87$\pm$0.17 , 3.40$\pm$0.15 ,  ,  3HWC J1935+213(0.36) 
 , WCDA* , 294.30 , 21.00 , 0.81 , 1.25$\pm$0.23 , 65.6 , 2.08$\pm$0.59 , 2.43$\pm$0.16 , ,  

1LHAASOJ1945$+$2424* , WCDA , 296.36 , 24.40 , 0.37 , 1.29$\pm$0.11 , 262.4 , 4.27$\pm$0.51 , 2.56$\pm$0.08 , ,   2HWC J1949+244        (0.97)
 , KM2A , 297.42 , 23.97 , 0.20 , 0.36$\pm$0.06 , 72.2 , 0.40$\pm$0.05 , 3.93$\pm$0.30 ,  , 

 1LHAASOJ1951$+$2608 , KM2A* , 297.94 , 26.15 , 0.42 , 1.00$\pm$0.11 , 100.0 , 1.13$\pm$0.12 , 3.43$\pm$0.17 ,  ,  3HWC J1951+266(0.47)
 , WCDA , , , , , , $<$0.48 , , , 

1LHAASOJ1952$+$2922 , WCDA , 298.05 , 29.38 , 0.07 , $<$0.12 , 104.0 , 0.55$\pm$0.05 , 2.52$\pm$0.10 , ,   2HWC J1953+294        (0.21)
 , KM2A , , , , , , $<$0.09 , , , 

 1LHAASOJ1954$+$2836u , KM2A , 298.55 , 28.60 , 0.07 , $<$0.12 , 123.2 , 0.42$\pm$0.05 , 2.92$\pm$0.14 , 44.9 ,   2HWC J1955+285        (0.24)
 , WCDA , 298.50 , 28.57 , 0.07 , $<$0.11 , 75.7 , 0.34$\pm$0.04 , 2.22$\pm$0.09 , ,

1LHAASOJ1954$+$3253 , WCDA , 298.63 , 32.88 , 0.09 , 0.17$\pm$0.03 , 144.0 , 0.62$\pm$0.06 , 2.45$\pm$0.09 , , 
 , KM2A , , , , , , $<$0.04 , , , 

1LHAASOJ1956$+$2921 , WCDA , 299.24 , 29.35 , 0.38 , 0.99$\pm$0.07 , 161.3 , 1.47$\pm$0.16 , 2.03$\pm$0.06 , ,   LHAASOJ1956+2845     (0.63)
 , KM2A , 298.84 , 28.92 , 0.23 , 0.78$\pm$0.05 , 151.3 , 1.62$\pm$0.14 , 3.42$\pm$0.12 ,  , 

 1LHAASOJ1959$+$2846u , KM2A , 299.78 , 28.78 , 0.09 , 0.29$\pm$0.03 , 213.2 , 0.84$\pm$0.07 , 2.90$\pm$0.10 , 74.0 ,
 , WCDA , , , , , , $<$0.38 , , , 

 1LHAASOJ1959$+$1129u , KM2A , 299.82 , 11.49 , 0.10 , $<$0.21 , 94.1 , 0.27$\pm$0.04 , 2.69$\pm$0.17 , 60.8 , 
 , WCDA , , , , , , $<$0.11 , , , 

1LHAASOJ2002$+$3244u , WCDA , 300.64 , 32.74 , 0.09 , $<$0.16 , 74.0 , 0.34$\pm$0.06 , 2.21$\pm$0.11 , , 
 , KM2A , 300.60 , 32.64 , 0.11 , $<$0.08 , 43.6 , 0.15$\pm$0.03 , 2.70$\pm$0.22 , 28.1 , 

1LHAASOJ2005$+$3415* , WCDA , 301.30 , 34.25 , 0.16 , 0.74$\pm$0.04 , 388.1 , 3.53$\pm$0.21 , 2.58$\pm$0.05 , ,   2HWC J2006+341        (0.22)
 , KM2A , 301.81 , 33.87 , 0.15 , 0.33$\pm$0.05 , 127.7 , 0.56$\pm$0.05 , 3.79$\pm$0.21 ,  , 

 1LHAASOJ2005$+$3050 , KM2A , 301.45 , 30.85 , 0.13 , 0.27$\pm$0.05 , 110.2 , 0.46$\pm$0.05 , 3.62$\pm$0.21 , ,  3HWC J2005+311(0.32) 
 , WCDA , 301.37 , 30.99 , 0.13 , 0.21$\pm$0.04 , 60.8 , 0.29$\pm$0.05 , 1.99$\pm$0.10 , ,  

 1LHAASOJ2018$+$3643u , KM2A , 304.65 , 36.72 , 0.04 , 0.24$\pm$0.01 , 2362.0 , 3.93$\pm$0.11 , 3.46$\pm$0.05 , 139.2 ,   MGRO J2019+37         (0.11) 
 , WCDA , 304.61 , 36.75 , 0.03 , 0.26$\pm$0.01 , 1608.0 , 2.19$\pm$0.06 , 1.94$\pm$0.02 , ,  

1LHAASOJ2020$+$4034 , WCDA , 305.03 , 40.57 , 0.08 , 0.38$\pm$0.03 , 458.0 , 2.36$\pm$0.16 , 2.91$\pm$0.06 , ,   VER J2019+407         (0.19)
 , KM2A , 305.20 , 40.43 , 0.14 , $<$0.30 , 70.6 , 0.35$\pm$0.05 , 3.56$\pm$0.23 ,  , 

1LHAASOJ2020$+$3638 , WCDA , 305.14 , 36.63 , 0.34 , 1.27$\pm$0.11 , 88.4 , 3.59$\pm$0.43 , 2.62$\pm$0.09 , ,   VER J2019+368         (0.28)
 , KM2A , , , , , , $<$0.18 , , , 

 1LHAASOJ2020$+$3649u , KM2A , 305.23 , 36.82 , 0.04 , 0.12$\pm$0.02 , 912.0 , 2.29$\pm$0.09 , 3.31$\pm$0.06 , 86.5 ,   VER J2019+368         (0.30) 
 , WCDA , 305.25 , 36.91 , 0.18 , 0.15$\pm$0.02 , 357.2 , 0.55$\pm$0.16 , 1.78$\pm$0.18 , ,  

 1LHAASOJ2027$+$3657 , KM2A , 306.88 , 36.95 , 0.23 , 0.38$\pm$0.05 , 84.6 , 0.50$\pm$0.06 , 3.21$\pm$0.17 ,  ,
 , WCDA , , , , , , $<$0.29 , , , 

 1LHAASOJ2028$+$3352 , KM2A , 307.21 , 33.88 , 0.86 , 1.70$\pm$0.23 , 75.7 , 1.61$\pm$0.19 , 3.38$\pm$0.19 ,  ,
 , WCDA , , , , , , $<$0.77 , , , 

1LHAASOJ2031$+$4052u* , WCDA , 307.90 , 40.88 , 0.19 , 0.25$\pm$0.05 , 57.8 , 0.77$\pm$0.12 , 2.81$\pm$0.16 , ,   LHAASOJ2032+4102     (0.20)
 , KM2A , 308.14 , 40.88 , 0.13 , $<$0.08 , 33.6 , 0.08$\pm$0.02 , 2.13$\pm$0.27 , 38.4 , 

 1LHAASOJ2031$+$4127u , KM2A , 307.95 , 41.46 , 0.03 , 0.22$\pm$0.01 , 1953.6 , 2.56$\pm$0.08 , 3.45$\pm$0.06 , 136.9 ,   PSR J2032+4127        (0.07) 
 , WCDA , 307.85 , 41.60 , 0.04 , 0.27$\pm$0.01 , 1521.0 , 3.07$\pm$0.12 , 2.29$\pm$0.03 , ,  

 1LHAASOJ2047$+$4434 , KM2A* , 311.92 , 44.58 , 0.23 , 0.42$\pm$0.09 , 62.4 , 0.46$\pm$0.06 , 3.17$\pm$0.20 ,  ,
 , WCDA , , , , , , $<$0.33 , , , 

 1LHAASOJ2108$+$5153u , KM2A , 317.10 , 51.90 , 0.04 , 0.19$\pm$0.02 , 942.5 , 1.38$\pm$0.07 , 2.97$\pm$0.07 , 252.8 ,   LHAASOJ2108+5157     (0.06) 
 , WCDA* , 316.83 , 51.95 , 0.09 , 0.14$\pm$0.03 , 81.0 , 0.08$\pm$0.02 , 1.44$\pm$0.08 , ,  

 1LHAASOJ2200$+$5643u , KM2A , 330.08 , 56.73 , 0.13 , 0.54$\pm$0.05 , 368.6 , 1.70$\pm$0.10 , 3.44$\pm$0.10 , 38.4 ,  
 , WCDA , 330.38 , 56.73 , 0.20 , 0.43$\pm$0.07 , 75.7 , 0.38$\pm$0.24 , 1.77$\pm$0.28 , ,  

 1LHAASOJ2228$+$6100u , KM2A , 337.01 , 61.00 , 0.04 , 0.35$\pm$0.01 , 2180.9 , 4.76$\pm$0.14 , 2.95$\pm$0.04 , 605.2 ,   SNR G106.3+02.7       (0.13) 
